,id,name,interest,_OS_CREATED_AT,OS_MERCHANT,OS_HANDLE,INFLUENCER_HANDLE,CODE
10,1174,Sephora,"[{'id': 80, 'name': 'Beauty & Cosmetics'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,hautechristian,1664431478
11,1237,Star Wars,"[{'id': 1, 'name': 'Television & Film'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,hautechristian,1664431478
12,1407,Walmart,"[{'id': 7, 'name': 'Shopping & Retail'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,hautechristian,1664431478
13,1435,Xbox,"[{'id': 30, 'name': 'Gaming'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,hautechristian,1664431478
14,1446,Zara,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,hautechristian,1664431478
15,1471,NFL,"[{'id': 21, 'name': 'Sports'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,hautechristian,1664431478
16,1565,PlayStation,"[{'id': 30, 'name': 'Gaming'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,hautechristian,1664431478
17,1781,SheInside,,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,hautechristian,1664431478
18,14232,shein,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,hautechristian,1664431478
19,14235,Fenty beauty,"[{'id': 80, 'name': 'Beauty & Cosmetics'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,hautechristian,1664431478
0,105,Amazon,"[{'id': 25, 'name': 'Electronics & Computers'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1662975016
1,221,BaubleBar,"[{'id': 130, 'name': 'Jewellery & Watches'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1662975016
2,527,Forever 21,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1662975016
3,851,Marvel Entertainment,,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1662975016
4,956,Nike,"[{'id': 33, 'name': 'Activewear'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1662975016
5,1009,Pandora,"[{'id': 130, 'name': 'Jewellery & Watches'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1662975016
6,1053,Polaroid,"[{'id': 11, 'name': 'Camera & Photography'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1662975016
7,1237,Star Wars,"[{'id': 1, 'name': 'Television & Film'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1662975016
8,1238,Starbucks,"[{'id': 9, 'name': 'Coffee, Tea & Beverages'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1662975016
9,1280,T.J. Maxx,"[{'id': 7, 'name': 'Shopping & Retail'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1662975016
10,1284,Target,"[{'id': 7, 'name': 'Shopping & Retail'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1662975016
11,1325,Tomorrowland,"[{'id': 3, 'name': 'Music'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1662975016
12,1408,Walt Disney,"[{'id': 190, 'name': 'Toys, Children & Baby'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1662975016
13,1446,Zara,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1662975016
14,1467,Universal,"[{'id': 1, 'name': 'Television & Film'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1662975016
0,105,Amazon,"[{'id': 25, 'name': 'Electronics & Computers'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1662645515
1,221,BaubleBar,"[{'id': 130, 'name': 'Jewellery & Watches'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1662645515
2,527,Forever 21,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1662645515
3,851,Marvel Entertainment,,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1662645515
4,956,Nike,"[{'id': 33, 'name': 'Activewear'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1662645515
5,1009,Pandora,"[{'id': 130, 'name': 'Jewellery & Watches'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1662645515
6,1053,Polaroid,"[{'id': 11, 'name': 'Camera & Photography'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1662645515
7,1237,Star Wars,"[{'id': 1, 'name': 'Television & Film'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1662645515
8,1238,Starbucks,"[{'id': 9, 'name': 'Coffee, Tea & Beverages'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1662645515
9,1280,T.J. Maxx,"[{'id': 7, 'name': 'Shopping & Retail'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1662645515
10,1284,Target,"[{'id': 7, 'name': 'Shopping & Retail'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1662645515
11,1325,Tomorrowland,"[{'id': 3, 'name': 'Music'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1662645515
12,1408,Walt Disney,"[{'id': 190, 'name': 'Toys, Children & Baby'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1662645515
13,1446,Zara,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1662645515
14,1467,Universal,"[{'id': 1, 'name': 'Television & Film'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1662645515
0,105,Amazon,"[{'id': 25, 'name': 'Electronics & Computers'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1664431791
1,221,BaubleBar,"[{'id': 130, 'name': 'Jewellery & Watches'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1664431791
2,527,Forever 21,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1664431791
3,851,Marvel Entertainment,,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1664431791
4,956,Nike,"[{'id': 33, 'name': 'Activewear'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1664431791
5,1009,Pandora,"[{'id': 130, 'name': 'Jewellery & Watches'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1664431791
6,1053,Polaroid,"[{'id': 11, 'name': 'Camera & Photography'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1664431791
7,1237,Star Wars,"[{'id': 1, 'name': 'Television & Film'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1664431791
8,1238,Starbucks,"[{'id': 9, 'name': 'Coffee, Tea & Beverages'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1664431791
9,1280,T.J. Maxx,"[{'id': 7, 'name': 'Shopping & Retail'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1664431791
10,1284,Target,"[{'id': 7, 'name': 'Shopping & Retail'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1664431791
11,1325,Tomorrowland,"[{'id': 3, 'name': 'Music'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1664431791
12,1408,Walt Disney,"[{'id': 190, 'name': 'Toys, Children & Baby'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1664431791
13,1446,Zara,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1664431791
14,1467,Universal,"[{'id': 1, 'name': 'Television & Film'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,mypixiedustedlife_,1664431791
0,138,Apple,"[{'id': 25, 'name': 'Electronics & Computers'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,proasyavlade,1664431907
1,318,Canon,,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,proasyavlade,1664431907
2,593,H&M,,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,proasyavlade,1664431907
3,664,Influenster,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,proasyavlade,1664431907
4,1384,Verizon,"[{'id': 25, 'name': 'Electronics & Computers'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,proasyavlade,1664431907
0,138,Apple,"[{'id': 25, 'name': 'Electronics & Computers'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,proasyavlade,1662974748
1,318,Canon,,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,proasyavlade,1662974748
2,593,H&M,,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,proasyavlade,1662974748
3,664,Influenster,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,proasyavlade,1662974748
4,1384,Verizon,"[{'id': 25, 'name': 'Electronics & Computers'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,proasyavlade,1662974748
0,138,Apple,"[{'id': 25, 'name': 'Electronics & Computers'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,proasyavlade,1662645548
1,318,Canon,,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,proasyavlade,1662645548
2,593,H&M,,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,proasyavlade,1662645548
3,664,Influenster,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,proasyavlade,1662645548
4,1384,Verizon,"[{'id': 25, 'name': 'Electronics & Computers'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,proasyavlade,1662645548
0,105,Amazon,"[{'id': 25, 'name': 'Electronics & Computers'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662646154
1,132,Anthropologie,"[{'id': 80, 'name': 'Beauty & Cosmetics'}, {'id': 1560, 'name': 'Home Decor, Furniture & Garden'}, {'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662646154
2,305,Burberry,"[{'id': 1500, 'name': 'Luxury Goods'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662646154
3,344,Chicwish,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662646154
4,387,Costco,"[{'id': 7, 'name': 'Shopping & Retail'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662646154
5,446,Dyson,"[{'id': 1560, 'name': 'Home Decor, Furniture & Garden'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662646154
6,490,Fabletics,"[{'id': 33, 'name': 'Activewear'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662646154
7,527,Forever 21,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662646154
8,586,Gucci,"[{'id': 1500, 'name': 'Luxury Goods'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662646154
9,593,H&M,,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662646154
10,628,HomeGoods,"[{'id': 1560, 'name': 'Home Decor, Furniture & Garden'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662646154
11,658,IKEA,,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662646154
12,827,Macy's,"[{'id': 7, 'name': 'Shopping & Retail'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662646154
13,850,Marshalls,"[{'id': 7, 'name': 'Shopping & Retail'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662646154
14,957,Nikon,,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662646154
15,991,Oral-B,"[{'id': 80, 'name': 'Beauty & Cosmetics'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662646154
16,1055,Polo Ralph Lauren,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662646154
17,1064,Prada,"[{'id': 1500, 'name': 'Luxury Goods'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662646154
18,1284,Target,"[{'id': 7, 'name': 'Shopping & Retail'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662646154
19,1305,The Home Depot,,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662646154
20,1338,Travelgram,"[{'id': 25, 'name': 'Electronics & Computers'}, {'id': 43, 'name': 'Travel, Tourism & Aviation'}, {'id': 11, 'name': 'Camera & Photography'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662646154
21,1408,Walt Disney,"[{'id': 190, 'name': 'Toys, Children & Baby'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662646154
22,1446,Zara,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662646154
23,1736,Kate Spade,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662646154
24,1781,SheInside,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662646154
25,14232,shein,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662646154
26,14281,Wayfair,,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662646154
27,14311,CVS,,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662646154
28,14514,Life Time Fitness,,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662646154
0,105,Amazon,"[{'id': 25, 'name': 'Electronics & Computers'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1664431912
1,132,Anthropologie,"[{'id': 80, 'name': 'Beauty & Cosmetics'}, {'id': 1560, 'name': 'Home Decor, Furniture & Garden'}, {'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1664431912
2,305,Burberry,"[{'id': 1500, 'name': 'Luxury Goods'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1664431912
3,344,Chicwish,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1664431912
4,387,Costco,"[{'id': 7, 'name': 'Shopping & Retail'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1664431912
5,446,Dyson,"[{'id': 1560, 'name': 'Home Decor, Furniture & Garden'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1664431912
6,490,Fabletics,"[{'id': 33, 'name': 'Activewear'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1664431912
7,527,Forever 21,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1664431912
8,586,Gucci,"[{'id': 1500, 'name': 'Luxury Goods'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1664431912
9,593,H&M,,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1664431912
10,628,HomeGoods,"[{'id': 1560, 'name': 'Home Decor, Furniture & Garden'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1664431912
11,658,IKEA,,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1664431912
12,827,Macy's,"[{'id': 7, 'name': 'Shopping & Retail'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1664431912
13,850,Marshalls,"[{'id': 7, 'name': 'Shopping & Retail'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1664431912
14,957,Nikon,,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1664431912
15,991,Oral-B,"[{'id': 80, 'name': 'Beauty & Cosmetics'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1664431912
16,1055,Polo Ralph Lauren,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1664431912
17,1064,Prada,"[{'id': 1500, 'name': 'Luxury Goods'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1664431912
18,1284,Target,"[{'id': 7, 'name': 'Shopping & Retail'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1664431912
19,1305,The Home Depot,,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1664431912
20,1338,Travelgram,"[{'id': 25, 'name': 'Electronics & Computers'}, {'id': 43, 'name': 'Travel, Tourism & Aviation'}, {'id': 11, 'name': 'Camera & Photography'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1664431912
21,1408,Walt Disney,"[{'id': 190, 'name': 'Toys, Children & Baby'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1664431912
22,1446,Zara,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1664431912
23,1736,Kate Spade,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1664431912
24,1781,SheInside,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1664431912
25,14232,shein,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1664431912
26,14281,Wayfair,,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1664431912
27,14311,CVS,,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1664431912
28,14514,Life Time Fitness,,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1664431912
0,105,Amazon,"[{'id': 25, 'name': 'Electronics & Computers'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662974740
1,132,Anthropologie,"[{'id': 80, 'name': 'Beauty & Cosmetics'}, {'id': 1560, 'name': 'Home Decor, Furniture & Garden'}, {'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662974740
2,305,Burberry,"[{'id': 1500, 'name': 'Luxury Goods'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662974740
3,344,Chicwish,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662974740
4,387,Costco,"[{'id': 7, 'name': 'Shopping & Retail'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662974740
5,446,Dyson,"[{'id': 1560, 'name': 'Home Decor, Furniture & Garden'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662974740
6,490,Fabletics,"[{'id': 33, 'name': 'Activewear'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662974740
7,527,Forever 21,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662974740
8,586,Gucci,"[{'id': 1500, 'name': 'Luxury Goods'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662974740
9,593,H&M,,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662974740
10,628,HomeGoods,"[{'id': 1560, 'name': 'Home Decor, Furniture & Garden'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662974740
11,658,IKEA,,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662974740
12,827,Macy's,"[{'id': 7, 'name': 'Shopping & Retail'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662974740
13,850,Marshalls,"[{'id': 7, 'name': 'Shopping & Retail'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662974740
14,957,Nikon,,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662974740
15,991,Oral-B,"[{'id': 80, 'name': 'Beauty & Cosmetics'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662974740
16,1055,Polo Ralph Lauren,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662974740
17,1064,Prada,"[{'id': 1500, 'name': 'Luxury Goods'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662974740
18,1284,Target,"[{'id': 7, 'name': 'Shopping & Retail'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662974740
19,1305,The Home Depot,,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662974740
20,1338,Travelgram,"[{'id': 25, 'name': 'Electronics & Computers'}, {'id': 43, 'name': 'Travel, Tourism & Aviation'}, {'id': 11, 'name': 'Camera & Photography'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662974740
21,1408,Walt Disney,"[{'id': 190, 'name': 'Toys, Children & Baby'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662974740
22,1446,Zara,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662974740
23,1736,Kate Spade,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662974740
24,1781,SheInside,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662974740
25,14232,shein,"[{'id': 13, 'name': 'Clothes, Shoes, Handbags & Accessories'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662974740
26,14281,Wayfair,,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662974740
27,14311,CVS,,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662974740
28,14514,Life Time Fitness,,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,thedressybostonian,1662974740
0,105,Amazon,"[{'id': 25, 'name': 'Electronics & Computers'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,christywalton__,1662645558
1,1284,Target,,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,christywalton__,1662645558
2,1408,Walt Disney,"[{'id': 190, 'name': 'Toys, Children & Baby'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,christywalton__,1662645558
3,13891,Gymshark,"[{'id': 196, 'name': 'Fitness & Yoga'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,christywalton__,1662645558
0,105,Amazon,"[{'id': 25, 'name': 'Electronics & Computers'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,christywalton__,1662974738
1,1284,Target,,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,christywalton__,1662974738
2,1408,Walt Disney,"[{'id': 190, 'name': 'Toys, Children & Baby'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,christywalton__,1662974738
3,13891,Gymshark,"[{'id': 196, 'name': 'Fitness & Yoga'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,christywalton__,1662974738
0,105,Amazon,"[{'id': 25, 'name': 'Electronics & Computers'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,christywalton__,1664431602
1,1284,Target,,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,christywalton__,1664431602
2,1408,Walt Disney,"[{'id': 190, 'name': 'Toys, Children & Baby'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,christywalton__,1664431602
3,13891,Gymshark,"[{'id': 196, 'name': 'Fitness & Yoga'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,christywalton__,1664431602
0,275,bonappetitmag,"[{'id': 139, 'name': 'Restaurants, Food & Grocery'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,blancobungalow,1664431784
1,480,Etsy,"[{'id': 36, 'name': 'Art & Design'}, {'id': 7, 'name': 'Shopping & Retail'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,blancobungalow,1664431784
2,658,IKEA,"[{'id': 1560, 'name': 'Home Decor, Furniture & Garden'}]",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,blancobungalow,1664431784
